candidate,amount_raised,slate,count,votes,race,won,district
Adolfo Velasquez,17453,progressive,23462,25.66200357,DCCC,FALSE,District 17
Anita Martinez,16572,progressive,26251,28.71252475,DCCC,FALSE,District 17
Bilal Mahmood,274675,moderate,33841,37.01422993,DCCC,TRUE,District 17
Brian Quan,52817,moderate,20938,29.51217106,DCCC,FALSE,District 19
Carrie Barnes,141043,moderate,30140,32.96619161,DCCC,TRUE,District 17
Catherine Stefani,121736,moderate,35676,50.28542433,DCCC,TRUE,District 19
Cedric Akbar,37666,moderate,28805,31.50601026,DCCC,TRUE,District 17
Connie Chan,61276,progressive,23036,32.46930808,DCCC,TRUE,District 19
Dan Calamuci,58752,moderate,21090,29.72641549,DCCC,TRUE,District 19
Emma Heiken,53969,moderate,32678,35.74217682,DCCC,TRUE,District 17
Frances Hsieh,19890,progressive,18124,25.54582999,DCCC,FALSE,District 19
Frank Tizedes,273,,2495,2.728953154,DCCC,FALSE,District 17
Gloria Berry,13644,progressive,23912,26.15419953,DCCC,FALSE,District 17
Gordon Mar,19121,progressive,21265,29.9730785,DCCC,TRUE,District 19
Greg Hardeman,56904,progressive,16199,22.83253696,DCCC,FALSE,District 19
Hene Kelly,15247,progressive,16255,22.91146912,DCCC,FALSE,District 19
Jade Tu,43782,moderate,22921,32.30721525,DCCC,TRUE,District 19
Jane Kim,39302,progressive,31213,34.13980553,DCCC,TRUE,District 17
Jen Nossokoff,900,,3329,4.692235049,DCCC,FALSE,District 19
Jeremy Lee,15934,progressive,28017,30.64412045,DCCC,FALSE,District 17
Joe Sangirardi,48385,moderate,30842,33.7340173,DCCC,TRUE,District 17
John Avalos,16361,progressive,31792,34.77309766,DCCC,TRUE,District 17
Joshua Rudy Ochoa,15455,progressive,24406,26.69452131,DCCC,FALSE,District 17
Kristin Hardy,53544,progressive,24325,26.60592604,DCCC,FALSE,District 17
Lanier Coles,92538,moderate,21445,30.22678901,DCCC,TRUE,District 19
Laurance Lem Lee,40180,moderate,27916,30.5336498,DCCC,FALSE,District 17
Leah Lacroix,12199,progressive,17241,24.30123895,DCCC,FALSE,District 19
Lily Ho,70974,moderate,33769,36.93547858,DCCC,TRUE,District 17
Luis Zamora,34574,moderate,27994,30.61896376,DCCC,FALSE,District 17
Lyn Werbach,48067,moderate,28656,31.34303871,DCCC,FALSE,District 17
Mano Raju,21357,progressive,18276,25.76007442,DCCC,FALSE,District 19
Marjan Philhour,248100,moderate,24250,34.18044456,DCCC,TRUE,District 19
Matt Dorsey,130634,moderate,41035,44.88280267,DCCC,TRUE,District 17
Michael Lai,225960,moderate,32239,35.26201232,DCCC,TRUE,District 17
Michael Nguyen,20287,progressive,29126,31.85711004,DCCC,TRUE,District 17
Michela Alioto-Pier,117028,moderate,26553,37.42652966,DCCC,TRUE,District 19
Mike Chen,56808,moderate,23203,32.70469505,DCCC,TRUE,District 19
Nancy Tung,87248,moderate,35210,38.51159942,DCCC,TRUE,District 17
Natalie Gee,27318,progressive,19381,27.31757509,DCCC,FALSE,District 19
Parag Gupta,54543,moderate,24074,33.93237205,DCCC,TRUE,District 19
Patrick Bell,57231,progressive,22500,24.60979798,DCCC,FALSE,District 17
Peter Gallotta,23133,progressive,29090,31.81773437,DCCC,TRUE,District 17
Peter Ho Lik Lee,55648,moderate,28006,30.63208899,DCCC,FALSE,District 17
Queena Chen,15691,progressive,15180,21.39625354,DCCC,FALSE,District 19
Sal Rosselli,89329,progressive,24101,26.36092183,DCCC,FALSE,District 17
Sandra Lee Fewer,23340,progressive,18069,25.46830733,DCCC,FALSE,District 19
Sara Barz,52344,moderate,20505,28.90185632,DCCC,FALSE,District 19
Sydney Simpson,23490,progressive,26230,28.6895556,DCCC,FALSE,District 17
Trevor Chandler,58608,moderate,33676,36.83375808,DCCC,TRUE,District 17
Vick Chung,14459,progressive,25329,27.70406991,DCCC,FALSE,District 17
Christopher Christensen,0,,4692,5.131963206,DCCC,FALSE,District 17
